JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim
0-160-30,160,30,77040,4800,16536,1,6400,384000,192000,38400,153600,4,5,30,320,20,30
0-144-30,144,30,69360,4320,24472,1,5760,345600,172800,28800,144000,3,6,30,320,18,30
0-144-40,144,40,92480,5760,1352,1,4320,345600,172800,28800,144000,3,6,40,240,18,40
0-168-24,168,24,64704,4032,30088,1,4200,201600,100800,14400,86400,3,7,24,200,21,24
0-168-25,168,25,67400,4200,27392,1,4032,201600,100800,14400,86400,3,7,25,192,21,25
0-128-40,128,40,82240,5120,11848,1,3840,307200,153600,38400,115200,4,4,40,240,16,40
0-120-40,120,40,77120,4800,17096,1,3600,288000,144000,28800,115200,3,5,40,240,15,40
0-168-30,168,30,80880,5040,13912,1,3360,201600,100800,14400,86400,3,7,30,160,21,30
0-112-40,112,40,72000,4480,22344,1,3360,268800,134400,19200,115200,2,7,40,240,14,40
0-80-50,80,50,64400,4000,29816,1,2880,288000,144000,28800,115200,2,5,50,288,10,50
0-112-50,112,50,90000,5600,4344,1,2688,268800,134400,19200,115200,2,7,50,192,14,50
0-80-60,80,60,77280,4800,16936,1,2400,288000,144000,28800,115200,2,5,60,240,10,60
0-96-50,96,50,77200,4800,17400,1,2304,230400,115200,19200,96000,2,6,50,192,12,50
0-72-60,72,60,69600,4320,24808,1,2160,259200,129600,43200,86400,3,3,60,240,9,60
0-64-60,64,60,61920,3840,32680,1,1920,230400,115200,28800,86400,2,4,60,240,8,60
0-96-60,96,60,92640,5760,1960,1,1920,230400,115200,19200,96000,2,6,60,160,12,60
0-72-75,72,75,87000,5400,7408,1,1728,259200,129600,43200,86400,3,3,75,192,9,75
0-64-75,64,75,77400,4800,17200,1,1536,230400,115200,28800,86400,2,4,75,192,8,75
0-56-75,56,75,67800,4200,26992,1,1344,201600,100800,14400,86400,1,7,75,192,7,75
0-40-100,40,100,64800,4000,29736,1,1200,240000,120000,24000,96000,1,5,100,240,5,100
0-48-100,48,100,77600,4800,17000,1,1152,230400,115200,19200,96000,1,6,100,192,6,100
0-56-100,56,100,90400,5600,4392,1,1008,201600,100800,14400,86400,1,7,100,144,7,100
0-40-120,40,120,77760,4800,16776,1,1000,240000,120000,24000,96000,1,5,120,200,5,120
0-48-120,48,120,93120,5760,1480,1,960,230400,115200,19200,96000,1,6,120,160,6,120
0-32-120,32,120,62400,3840,32200,1,960,230400,115200,28800,86400,1,4,120,240,4,120
0-32-150,32,150,78000,4800,16600,1,768,230400,115200,28800,86400,1,4,150,192,4,150
0-24-200,24,200,78400,4800,16392,1,504,201600,100800,33600,67200,1,3,200,168,3,200
0-136-30,136,30,65520,4080,28440,1,320,19200,9600,9600,0,1,1,30,320,17,30
0-152-30,152,30,73200,4560,20504,1,320,19200,9600,9600,0,1,1,30,320,19,30
0-136-40,136,40,87360,5440,6600,1,240,19200,9600,9600,0,1,1,40,240,17,40
0-104-40,104,40,66880,4160,27592,1,240,19200,9600,9600,0,1,1,40,240,13,40
0-104-50,104,50,83600,5200,10872,1,192,19200,9600,9600,0,1,1,50,192,13,50
0-88-50,88,50,70800,4400,23928,1,192,19200,9600,9600,0,1,1,50,192,11,50
0-88-60,88,60,84960,5280,9768,1,160,19200,9600,9600,0,1,1,60,160,11,60
