JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Total Loads,Tile Shape,stage
0-40-120,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,70917,1111317,40,120,77760,4800,7840,1,3000,720000,360000,72000,288000,1,5,120,600,5,120,723000,wide,2
0-24-200,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,72988,1112697,24,200,78400,4800,7200,1,1800,720000,360000,120000,240000,1,3,200,600,3,200,721800,wide,2
0-40-100,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,69121,1110948,40,100,64800,4000,20800,1,3600,720000,360000,72000,288000,1,5,100,720,5,100,723600,wide,2
0-24-150,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,76490,1118136,24,150,58800,3600,26800,1,2400,720000,360000,120000,240000,1,3,150,800,3,150,722400,wide,2
0-40-75,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,76421,1117436,40,75,48600,3000,37000,1,4800,720000,360000,72000,288000,1,5,75,960,5,75,724800,wide,3
0-24-120,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,79292,1119386,24,120,47040,2880,38560,1,3000,720000,360000,120000,240000,1,3,120,1000,3,120,723000,wide,1
0-24-100,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,80994,1122125,24,100,39200,2400,46400,1,3600,720000,360000,120000,240000,1,3,100,1200,3,100,723600,wide,1
0-40-60,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,80221,1120055,40,60,38880,2400,46720,1,6000,720000,360000,72000,288000,1,5,60,1200,5,60,726000,wide,1
0-40-50,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,85386,1126892,40,50,32400,2000,53200,1,7200,720000,360000,72000,288000,1,5,50,1440,5,50,727200,wide,1
0-24-75,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,88898,1129237,24,75,29400,1800,56200,1,4800,720000,360000,120000,240000,1,3,75,1600,3,75,724800,wide,1
0-40-40,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,84547,1123932,40,40,25920,1600,59680,1,9000,720000,360000,72000,288000,1,5,40,1800,5,40,729000,square,0
0-24-60,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,93493,1133403,24,60,23520,1440,62080,1,6000,720000,360000,120000,240000,1,3,60,2000,3,60,726000,wide,0
0-40-30,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,98109,1138425,40,30,19440,1200,66160,1,12000,720000,360000,72000,288000,1,5,30,2400,5,30,732000,tall,0
0-24-50,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,105382,1146377,24,50,19600,1200,66000,1,7200,720000,360000,120000,240000,1,3,50,2400,3,50,727200,wide,0
0-40-25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,107000,1147316,40,25,16200,1000,69400,1,14400,720000,360000,72000,288000,1,5,25,2880,5,25,734400,tall,0
0-24-40,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,117565,1159445,24,40,15680,960,69920,1,9000,720000,360000,120000,240000,1,3,40,3000,3,40,729000,wide,0
0-40-24,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,108786,1148622,40,24,15552,960,70048,1,15000,720000,360000,72000,288000,1,5,24,3000,5,24,735000,tall,0
0-40-20,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,119287,1159603,40,20,12960,800,72640,1,18000,720000,360000,72000,288000,1,5,20,3600,5,20,738000,tall,0
0-24-30,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,130217,1171196,24,30,11760,720,73840,1,12000,720000,360000,120000,240000,1,3,30,4000,3,30,732000,wide,0
0-24-25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,144643,1185966,24,25,9800,600,75800,1,14400,720000,360000,120000,240000,1,3,25,4800,3,25,734400,wide,0
0-40-15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,137285,1178124,40,15,9720,600,75880,1,24000,720000,360000,72000,288000,1,5,15,4800,5,15,744000,tall,0
0-24-24,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,134705,1174568,24,24,9408,576,76192,1,15000,720000,360000,120000,240000,1,3,24,5000,3,24,735000,square,0
0-24-20,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,148969,1190920,24,20,7840,480,77760,1,18000,720000,360000,120000,240000,1,3,20,6000,3,20,738000,tall,0
0-40-12,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,152380,1192216,40,12,7776,480,77824,1,30000,720000,360000,72000,288000,1,5,12,6000,5,12,750000,tall,0
0-40-10,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,174619,1214935,40,10,6480,400,79120,1,36000,720000,360000,72000,288000,1,5,10,7200,5,10,756000,tall,0
0-24-15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,191694,1232673,24,15,5880,360,79720,1,24000,720000,360000,120000,240000,1,3,15,8000,3,15,744000,tall,0
0-40-8,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,204744,1246250,40,8,5184,320,80416,1,45000,720000,360000,72000,288000,1,5,8,9000,5,8,765000,tall,0
0-24-12,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,217262,1258257,24,12,4704,288,80896,1,30000,720000,360000,120000,240000,1,3,12,10000,3,12,750000,tall,0
0-24-10,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,243499,1284237,24,10,3920,240,81680,1,36000,720000,360000,120000,240000,1,3,10,12000,3,10,756000,tall,0
0-24-8,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,310238,1353027,24,8,3136,192,82464,1,45000,720000,360000,120000,240000,1,3,8,15000,3,8,765000,tall,0
