JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Total Loads,Tile Shape
0-24-104,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,133167,1284223,24,104,40768,2496,30432,2,4800,998400,499200,166400,332800,1,3,104,1600,3,104,1003200,wide
0-24-112,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,158363,1398894,24,112,43904,2688,27296,2,4800,1075200,537600,179200,358400,1,3,112,1600,3,112,1080000,wide
0-24-120,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,167288,1419104,24,120,47040,2880,24160,2,4800,1152000,576000,192000,384000,1,3,120,1600,3,120,1156800,wide
0-24-128,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,180448,1490723,24,128,50176,3072,21024,2,4800,1228800,614400,204800,409600,1,3,128,1600,3,128,1233600,wide
0-24-136,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,129958,1271622,24,136,53312,3264,17888,2,3600,979200,489600,163200,326400,1,3,136,1200,3,136,982800,wide
0-24-144,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,149984,1351389,24,144,56448,3456,14752,2,3600,1036800,518400,172800,345600,1,3,144,1200,3,144,1040400,wide
0-24-152,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,160151,1391286,24,152,59584,3648,11616,2,3600,1094400,547200,182400,364800,1,3,152,1200,3,152,1098000,wide
0-24-16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,305685,1965176,24,16,6272,384,64928,2,30000,960000,480000,160000,320000,1,3,16,10000,3,16,990000,tall
0-24-160,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,171613,1438302,24,160,62720,3840,8480,2,3600,1152000,576000,192000,384000,1,3,160,1200,3,160,1155600,wide
0-24-168,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,174951,1450470,24,168,65856,4032,5344,2,3600,1209600,604800,201600,403200,1,3,168,1200,3,168,1213200,wide
0-24-176,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,109169,1188538,24,176,68992,4224,2208,2,3600,1267200,633600,211200,422400,1,3,176,1200,3,176,1270800,wide
0-24-24,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,305685,1965176,24,24,9408,576,61792,2,20400,979200,489600,163200,326400,1,3,24,6800,3,24,999600,square
0-24-32,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,302597,1962088,24,32,12544,768,58656,2,15600,998400,499200,166400,332800,1,3,32,5200,3,32,1014000,wide
0-24-48,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,244422,1729603,24,48,18816,1152,52384,2,10800,1036800,518400,172800,345600,1,3,48,3600,3,48,1047600,wide
0-24-56,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,228434,1665727,24,56,21952,1344,49248,2,9600,1075200,537600,179200,358400,1,3,56,3200,3,56,1084800,wide
0-24-64,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,244324,1729091,24,64,25088,1536,46112,2,8400,1075200,537600,179200,358400,1,3,64,2800,3,64,1083600,wide
0-24-72,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,200557,1554774,24,72,28224,1728,42976,2,7200,1036800,518400,172800,345600,1,3,72,2400,3,72,1044000,wide
0-24-88,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,155517,1397695,24,88,34496,2112,36704,2,6000,1056000,528000,176000,352000,1,3,88,2000,3,88,1062000,wide
0-24-96,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,229844,1672015,24,96,37632,2304,33568,2,6000,1152000,576000,192000,384000,1,3,96,2000,3,96,1158000,wide
0-40-104,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,133189,1283634,40,104,67392,4160,3808,2,4800,998400,499200,99840,399360,1,5,104,960,5,104,1003200,wide
0-40-16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,193104,1522559,40,16,10368,640,60832,2,30000,960000,480000,96000,384000,1,5,16,6000,5,16,990000,tall
0-40-24,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,238987,1706789,40,24,15552,960,55648,2,20400,979200,489600,97920,391680,1,5,24,4080,5,24,999600,tall
0-40-32,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,263308,1791252,40,32,20736,1280,50464,2,15600,998400,499200,99840,399360,1,5,32,3120,5,32,1014000,tall
0-40-48,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,207318,1581715,40,48,31104,1920,40096,2,10800,1036800,518400,103680,414720,1,5,48,2160,5,48,1047600,wide
0-40-56,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,156134,1375192,40,56,36288,2240,34912,2,9600,1075200,537600,107520,430080,1,5,56,1920,5,56,1084800,wide
0-40-64,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,214576,1610608,40,64,41472,2560,29728,2,8400,1075200,537600,107520,430080,1,5,64,1680,5,64,1083600,wide
0-40-72,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,147559,1343601,40,72,46656,2880,24544,2,7200,1036800,518400,103680,414720,1,5,72,1440,5,72,1044000,wide
0-40-88,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,149984,1351389,40,88,57024,3520,14176,2,6000,1056000,528000,105600,422400,1,5,88,1200,5,88,1062000,wide
0-40-96,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,175225,1452056,40,96,62208,3840,8992,2,6000,1152000,576000,115200,460800,1,5,96,1200,5,96,1158000,wide
0-48-16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,186746,1498002,48,16,12416,768,58784,2,30000,960000,480000,80000,400000,1,6,16,5000,6,16,990000,tall
0-48-24,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,219658,1633488,48,24,18624,1152,52576,2,20400,979200,489600,81600,408000,1,6,24,3400,6,24,999600,tall
0-48-32,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,257192,1780662,48,32,24832,1536,46368,2,15600,998400,499200,83200,416000,1,6,32,2600,6,32,1014000,tall
0-48-48,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,201405,1554686,48,48,37248,2304,33952,2,10800,1036800,518400,86400,432000,1,6,48,1800,6,48,1047600,square
0-48-56,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,155593,1373233,48,56,43456,2688,27744,2,9600,1075200,537600,89600,448000,1,6,56,1600,6,56,1084800,wide
0-48-64,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,213824,1606760,48,64,49664,3072,21536,2,8400,1075200,537600,89600,448000,1,6,64,1400,6,64,1083600,wide
0-48-72,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,148111,1344135,48,72,55872,3456,15328,2,7200,1036800,518400,86400,432000,1,6,72,1200,6,72,1044000,wide
0-48-88,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,109169,1188538,48,88,68288,4224,2912,2,6000,1056000,528000,88000,440000,1,6,88,1000,6,88,1062000,wide
0-80-16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,190305,1512268,80,16,20608,1280,50592,2,30000,960000,480000,96000,384000,2,5,16,3000,10,16,990000,tall
0-80-24,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,200557,1554774,80,24,30912,1920,40288,2,20400,979200,489600,97920,391680,2,5,24,2040,10,24,999600,tall
0-80-32,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,212468,1602133,80,32,41216,2560,29984,2,15600,998400,499200,99840,399360,2,5,32,1560,10,32,1014000,tall
0-80-48,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,182434,1481577,80,48,61824,3840,9376,2,10800,1036800,518400,103680,414720,2,5,48,1080,10,48,1047600,tall
